system_id,public_name,pdc0_kw,pr_annual
34,[34] Andre Agassi Preparatory Academy - Building A,146.64,5.371937923909795
35,[35] Andre Agassi Preparatory Academy - Gymnasium,121.68,2.4145305013750664
1239,[1239] Univ. of Maine - Presque Isle,20.16,0.015549054169469957
1276,[1276] Andre Agassi Preparatory Academy - Building B,68.48,5.9209039437456585
1277,[1277] Andre Agassi Preparatory Academy - Building C,40.56,5.653869989669977
1278,[1278] Andre Agassi Preparatory Academy - Building D,171.36,4.312733130435155
1283,[1283] NREL Research Support Facility II,408.24,0.7364463982475841
1418,[1418] Clark County-NV - Desert Breeze,42.0,0.8122290560325696
1419,[1419] Clark County-NV - Hollywood Rec Center,40.0,0.736349272429507
